,Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total,Round
119,SHAIK KAREEM,Independent,176,10,186,24
120,SHAIK SHAREEF,Independent,186,12,198,24
121,SIDDHARTHA CHAKRAVARTHY,Independent,130,3,133,24
122,SURABHI SINGH,Independent,178,25,203,24
123,SHIV SHANKAR REDDY.S,Independent,120,13,133,24
124,NOTA,None of the Above,1243,53,1296,24
125,,Total,160788,7734,168522,24
126,KONETI SUJATHA,Bahujan Samaj Party,719,50,769,23
127,MAGANTI GOPINATH,Bharat Rashtra Samithi,66507,3298,69805,23
128,MOHAMMED AZHARUDDIN,Indian National Congress,54219,2035,56254,23
129,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6791,140,6931,23
130,LANKALA DEEPAK REDDY,Bharatiya Janata Party,22247,1272,23519,23
131,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,165,6,171,23
132,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,769,37,806,23
133,M.PRASUNAMBA,Navarang Congress Party,100,7,107,23
134,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,59,6,65,23
135,ANAND RAO,Independent,43,2,45,23
136,MACHCHERLA VENKAT REDDY,Independent,51,6,57,23
137,MOHAMMED AKBARUDDIN,Independent,76,3,79,23
138,MOHAMMED ISMAIL KHAN,Independent,47,1,48,23
139,VANAPARTHY RAMBABU,Independent,95,4,99,23
140,SHAIK KAREEM,Independent,167,9,176,23
141,SHAIK SHAREEF,Independent,182,4,186,23
142,SIDDHARTHA CHAKRAVARTHY,Independent,125,5,130,23
143,SURABHI SINGH,Independent,160,18,178,23
144,SHIV SHANKAR REDDY.S,Independent,116,4,120,23
145,NOTA,None of the Above,1186,57,1243,23
146,,Total,153824,6964,160788,23
147,KONETI SUJATHA,Bahujan Samaj Party,106,38,144,6
148,MAGANTI GOPINATH,Bharat Rashtra Samithi,11401,3197,14598,6
149,MOHAMMED AZHARUDDIN,Indian National Congress,12493,2745,15238,6
